Numero de tracking : 452520484968|Estatus : En tránsito|Peso en Kg : Dato pendiente|Peso el Lb : Dato pendiente|Fecha de salida :02/10/2017 07:40|Fecha de entregado : Dato pendiente
Numero de tracking : 477937452712|Estatus : Entregado|Peso en Kg : 1.77 kg|Peso el Lb : 3.9 lb|Fecha de salida :07/05/2019|Fecha de entregado : 10/05/2019 17:58
